Course,Title,F24,M24,S24,W24,F23,M23,S23,W23,F22,M22,S22,W22
PSTAT 5A,UNDERSTANDING DATA,215,77,260,283,553,112,215,279,499,116,194,278
PSTAT 5H,STATISTICS,30,,31,24,25,,31,22,4,,,
PSTAT 5LS,STAT LIFE SCIENCES,348,60,305,299,,39,300,294,,63,294,284
PSTAT 8,TRANS DS PROB STAT,137,22,83,136,134,18,86,156,70,23,59,
PSTAT 10,DATA SCIENCE PRINC,289,93,234,260,289,83,243,282,257,87,278,287
PSTAT 99,INDEPENDENT STUDIES,,,,,,,,,,,,
PSTAT 100,DS_CONC&ANLS,108,,95,,104,48,125,127,,,95,88
PSTAT 105,INTRO N-PARAM METH,,,,,39,,,,79,,,93
PSTAT 109,STATISTICS FOR ECON,,,,,,,,,,,,
PSTAT 115,BAYES DATA ANALYSIS,74,25,74,96,16,15,38,70,63,,,81
PSTAT 120A,PROB & STATISTICS,347,75,368,373,420,87,237,246,419,65,244,229
PSTAT 120B,PROB & STATISTICS,236,138,382,241,262,102,256,256,165,174,216,241
PSTAT 120C,PROB & STATISTICS,37,129,131,39,20,81,65,31,87,109,119,
PSTAT 122,DESIGN OF EXPERMNTS,201,,177,162,167,,194,187,182,,137,119
PSTAT 123,SAMPLING TECHNIQUE,,,,137,,,,,,,,
PSTAT 126,REGRESSION ANALYSIS,272,94,147,200,123,84,149,175,182,67,250,123
PSTAT 127,ADV STATS MODELS,72,,,,57,,,73,,,78,91
PSTAT 130,SAS BASE PROGRAM,121,108,122,97,120,95,119,98,97,138,122,98
PSTAT 131,STAT MACHINE LEARN,64,80,93,138,151,55,108,197,178,,75,76
PSTAT 132,DATABASES FOR STATS,,,,,,,,,,,,
PSTAT 134,STAT DATA SCIENCE,79,,70,78,81,,87,42,33,22,,66
PSTAT 135,BIG DATA ANALYTICS,,,,99,,,,93,,,,
PSTAT 140,STATISTICAL PROCESS,,,,,,,,,,,,
PSTAT 160A,STOCHASTIC PROCESS,126,108,161,184,132,,108,161,184,51,130,77
PSTAT 160B,STOCHASTIC PROCESS,86,,106,73,44,7,82,81,58,54,109,72
PSTAT 170,INTRO MATH FINANCE,92,19,125,65,59,17,77,57,55,41,74,69
PSTAT 171,MATH COMPOUND INT,96,49,84,69,102,32,64,69,108,49,70,68
PSTAT 172A,ACTUARIAL STAT I,,,,60,,,,43,,,,60
PSTAT 172B,ACTUARIAL STAT II,,,20,,,,23,,,,26,
PSTAT 173,RISK THEORY,64,,,,36,,,,43,,,50
PSTAT 174,TIME SERIES,83,170,118,69,,,170,118,69,,61,74
PSTAT 175,SURVIVAL ANALYSIS,,,55,,18,,,,73,,,
PSTAT 176,ADV MATH FINANCE,,,15,,,,13,,,,15,
PSTAT 182T,ACTUARIAL TUTORIAL,15,,17,6,4,,6,4,7,,12,5
PSTAT 183,ACTUARIAL CONCEPTS,,,44,,,,46,,,,68,
PSTAT 190,ULA TRAINING,14,,,,5,,,,20,,,
PSTAT 191,ULA PRACTICUM,,,,,,,,,,,,
PSTAT 193,INTERNSHIP IN STATS,4,27,6,4,8,20,6,3,2,35,5,4
PSTAT 194,GRP STDY ADV STDNT,,11,29,,,,28,,,,66,
PSTAT 195,SPECIAL TOPICS,,,,,,,,,,,,
PSTAT 196,RESEARCH IN ACTSC,,,,,,,,,,,,
PSTAT 197A,DS CAPSTONE PREP,59,,,,58,,,,59,,,
PSTAT 197B,DS CAPSTONE PROJECT,,,,56,,,,53,,,,46
PSTAT 197C,DS CAPSTONE PROJECT,,,53,,,,46,,,,47,
PSTAT 199,INDEPENDENT STUDIES,18,5,19,17,23,6,21,17,21,10,19,5
PSTAT 199RA,INDEP RESEARCH ASST,,,,,,,,,,,,
