"Rep","Party","State","Vote","Bill","Vote_Question"
"Adams","Democratic","North Carolina","Nay","H. R. 788","On Passage"
"Aderholt","Republican","Alabama","Yea","H. R. 788","On Passage"
"Aguilar","Democratic","California","Nay","H. R. 788","On Passage"
"Alford","Republican","Missouri","Yea","H. R. 788","On Passage"
"Allen","Republican","Georgia","Yea","H. R. 788","On Passage"
"Allred","Democratic","Texas","Nay","H. R. 788","On Passage"
"Amo","Democratic","Rhode Island","Nay","H. R. 788","On Passage"
"Amodei","Republican","Nevada","Yea","H. R. 788","On Passage"
"Armstrong","Republican","North Dakota","Yea","H. R. 788","On Passage"
"Arrington","Republican","Texas","Yea","H. R. 788","On Passage"
"Auchincloss","Democratic","Massachusetts","Nay","H. R. 788","On Passage"
"Babin","Republican","Texas","Yea","H. R. 788","On Passage"
"Bacon","Republican","Nebraska","Yea","H. R. 788","On Passage"
"Baird","Republican","Indiana","Yea","H. R. 788","On Passage"
"Balderson","Republican","Ohio","Yea","H. R. 788","On Passage"
"Balint","Democratic","Vermont","Nay","H. R. 788","On Passage"
"Banks","Republican","Indiana","Yea","H. R. 788","On Passage"
"Barr","Republican","Kentucky","Yea","H. R. 788","On Passage"
"Barragán","Democratic","California","Nay","H. R. 788","On Passage"
"Bean (FL)","Republican","Florida","Yea","H. R. 788","On Passage"
"Beatty","Democratic","Ohio","Not Voting","H. R. 788","On Passage"
"Bentz","Republican","Oregon","Yea","H. R. 788","On Passage"
"Bera","Democratic","California","Nay","H. R. 788","On Passage"
"Bergman","Republican","Michigan","Yea","H. R. 788","On Passage"
"Beyer","Democratic","Virginia","Nay","H. R. 788","On Passage"
"Bice","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Biggs","Republican","Arizona","Yea","H. R. 788","On Passage"
"Bilirakis","Republican","Florida","Yea","H. R. 788","On Passage"
"Bishop (GA)","Democratic","Georgia","Nay","H. R. 788","On Passage"
"Bishop (NC)","Republican","North Carolina","Yea","H. R. 788","On Passage"
"Blumenauer","Democratic","Oregon","Nay","H. R. 788","On Passage"
"Blunt Rochester","Democratic","Delaware","Not Voting","H. R. 788","On Passage"
"Boebert","Republican","Colorado","Not Voting","H. R. 788","On Passage"
"Bonamici","Democratic","Oregon","Nay","H. R. 788","On Passage"
"Bost","Republican","Illinois","Yea","H. R. 788","On Passage"
"Bowman","Democratic","New York","Nay","H. R. 788","On Passage"
"Boyle (PA)","Democratic","Pennsylvania","Nay","H. R. 788","On Passage"
"Brecheen","Republican","Oklahoma","Yea","H. R. 788","On Passage"
"Brown","Democratic","Ohio","Nay","H. R. 788","On Passage"
"Brownley","Democratic","California","Nay","H. R. 788","On Passage"
"Buchanan","Republican","Florida","Yea","H. R. 788","On Passage"
"Buck","Republican","Colorado","Not Voting","H. R. 788","On Passage"
"Bucshon","Republican","Indiana","Yea","H. R. 788","On Passage"
"Budzinski","Democratic","Illinois","Nay","H. R. 788","On Passage"
"Burchett","Republican","Tennessee","Yea","H. R. 788","On Passage"
"Burgess","Republican","Texas","Yea","H. R. 788","On Passage"
"Burlison","Republican","Missouri","Yea","H. R. 788","On Passage"
"Bush","Democratic","Missouri","Nay","H. R. 788","On Passage"
"Calvert","Republican","California","Yea","H. R. 788","On Passage"
"Cammack","Republican","Florida","Yea","H. R. 788","On Passage"
"Caraveo","Democratic","Colorado","Nay","H. R. 788","On Passage"
"Carbajal","Democratic","California","Nay","H. R. 788","On Passage"
"Cárdenas","Democratic","California","Not Voting","H. R. 788","On Passage"
"Carey","Republican","Ohio","Yea","H. R. 788","On Passage"
"Carl","Republican","Alabama","Yea","H. R. 788","On Passage"
"Carson","Democratic","Indiana","Nay","H. R. 788","On Passage"
"Carter (GA)","Republican","Georgia","Yea","H. R. 788","On Passage"
"Carter (LA)","Democratic","Louisiana","Not Voting","H. R. 788","On Passage"
